Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
real estate in los cabos,10,2,260,44,0.78,commercial,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,-33,0.03,0.00,0.53,6550000,"[32,17,21,5,100,32,14,5,14,39,17,26]",2026-04-16,Organic,,People also ask
homes for sale in loreto mexico,4,2,320,18,0.17,transactional,https://diamanterealtors.com/listings-real-estate-loreto-any-price/,-22,0.62,3.00,0.23,499000,"[100,54,54,54,54,54,66,44,54,35,35,35]",2026-04-19,Organic,,
fideicomiso,0,1,3600,21,2.15,informational,https://diamanterealtors.com/the-mexican-fideicomiso/,-18,0,0.00,0.02,10100000,"[66,66,81,53,44,66,66,81,66,81,53,53]",2026-04-18,AI overview,,
los cabo mexico real estate,7,1,170,44,0.78,commercial,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,-17,0.15,3.00,0.26,9690000,"[35,22,54,29,54,54,35,22,100,8,10,22]",2026-04-17,Organic,,"People also ask, AI overview"
cabo house for sale,15,1,70,9,0.66,transactional,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,-17,0,0.00,0.71,70600000,"[29,29,41,41,29,23,41,41,41,41,41,41]",2026-04-17,Organic,,"Image pack, People also ask"
cabo condos for sale by owner,28,1,40,0,0.00,commercial,https://diamanterealtors.com/los-cabos-condominiums/,-9,0,0.00,0,668000,"[23,11,17,11,11,23,29,23,17,29,29,29]",2026-04-18,Organic,,
condos los cabos,9,1,30,17,1.65,commercial,https://diamanterealtors.com/los-cabos-condominiums/,-7,0,0.00,0.59,419000,"[60,20,40,20,40,20,100,80,80,100,80,100]",2026-04-18,Organic,,People also ask
homes in cabo san lucas,14,8,480,18,0.88,commercial,https://diamanterealtors.com/listings-real-estate-cabo-san-lucas-any-price/,-6,0,0.00,0.26,148,"[81,81,100,100,54,54,54,66,81,44,44,54]",2026-04-15,Organic,,
cabo mexico condos for sale,8,0,720,12,0.84,transactional,https://diamanterealtors.com/los-cabos-condominiums/,6,0.18,5.00,0.6,299000,"[8,100,84,84,68,52,11,16,5,37,3,4]",2026-04-14,Organic,,
san jose del cabo homes for sale,8,4,210,7,0.77,transactional,https://diamanterealtors.com/listings-real-estate-san-jose-del-cabo-any-price/,-6,0.15,3.00,0.36,3380000,"[43,35,35,100,28,28,43,43,53,53,53,82]",2026-04-19,Organic,,
