Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
puerto vallarta homes for sale,0,3,2900,20,0.19,transactional,https://www.mexicolife.com/puerto-vallarta-real-estate.php,-237,0,0.00,0.36,1080000,"[100,81,66,53,53,44,44,53,53,24,44,24]",2026-04-15,Organic,,
nuevo vallarta,3,0,12100,25,0.87,informational,https://www.mexicolife.com/nuevo-vallarta-condos-for-sale.php,145,3.36,126.00,0.09,29000000,"[66,66,54,44,44,44,54,44,36,36,29,44]",2026-04-16,Things to know,,
bucerias,0,1,2900,33,1.21,informational,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,-63,0,0.00,0.09,128,"[100,66,81,66,44,44,44,35,29,35,44,53]",2026-04-14,People also ask,,
homes for sale puerto vallarta,14,4,880,17,0.19,transactional,https://www.mexicolife.com/puerto-vallarta-real-estate.php,-61,0.09,0.00,0.36,106,"[44,27,24,24,24,36,24,20,16,10,8,10]",2026-04-15,Organic,,People also ask
mexico real estate,3,3,2900,38,0.31,"commercial, informational",https://www.mexicolife.com/blog/buying-property-in-mexicos-restricted-zone-complete-faq-for-foreign-buyers.html,-50,0,0.00,0.2,336000000,"[81,66,53,53,53,53,53,44,44,35,29,35]",2026-04-16,Things to know,,AI overview
puerto vallarta real estate,6,10,3600,41,0.20,commercial,https://www.mexicolife.com/old-town-vallarta.php,47,2.92,25.00,0.44,3780000,"[81,81,66,54,66,54,66,54,43,36,36,28]",2026-04-19,Organic,,People also ask
san pancho mexico real estate,6,2,390,12,0.11,commercial,https://www.mexicolife.com/san-pancho-mls.php,-42,0.2,0.00,0.27,621000,"[100,81,100,66,66,66,66,66,54,54,66,66]",2026-04-15,Organic,,People also ask
puerto vallarta condo for sale,32,2,210,11,0.24,transactional,https://www.mexicolife.com/beachfront-condos-for-sale-in-puerto-vallarta.php,-42,0,0.00,0.41,474000,"[10,16,55,36,1,1,10,3,36,24,5,6]",2026-04-19,Organic,,People also ask
chacala mexico,0,7,1900,17,0.91,informational,https://www.mexicolife.com/nayarit/chacala.php,-24,0,0.00,0.08,534000,"[54,79,100,79,79,79,79,66,66,54,66,79]",2026-04-14,Organic,,
bucerias condos for sale,1,0,90,0,0.17,transactional,https://www.mexicolife.com/bucerias-condos-for-sale.php,22,0.5,3.00,0.36,85000,"[100,64,82,41,64,41,41,41,29,29,41,41]",2026-04-14,Organic,,
homes for sale puerto vallarta jalisco,0,5,1300,12,0.21,transactional,https://www.mexicolife.com/blog/puerto-vallarta-condo-market-report-april-2025.html,-19,0,0.00,0.36,625000,"[8,1,44,13,82,65,100,1,5,30,44,55]",2026-04-19,People also ask,,
houses in puerto vallarta,6,87,480,16,0.32,"commercial, informational",https://www.mexicolife.com/puerto-vallarta-real-estate.php,16,0.37,5.00,0.36,108,"[66,81,66,81,54,100,66,66,66,44,36,44]",2026-04-15,Organic,,People also ask
property in mexico,0,4,1300,31,0.36,commercial,https://www.mexicolife.com/blog/buying-property-in-mexicos-restricted-zone-complete-faq-for-foreign-buyers.html,-15,0,0.00,0.23,598000000,"[54,100,79,54,30,41,54,66,41,54,41,24]",2026-04-19,People also ask,,
homes for sale puerto vallarta,0,4,1000,22,0.21,transactional,https://www.mexicolife.com/puerto-vallarta-real-estate.php,-15,0,0.00,0.36,1590000,"[66,44,27,24,24,24,36,24,20,16,10,8]",2026-04-15,People also ask,,
homes for sale puerto vallarta jalisco,0,5,1300,12,0.21,transactional,https://www.mexicolife.com/blog/puerto-vallarta-area-mls-condo-market-report-feb-2025.html,-15,0,0.00,0.36,625000,"[8,1,44,13,82,65,100,1,5,30,44,55]",2026-04-19,People also ask,,
guanajuato city real estate,9,4,320,2,0.02,commercial,https://www.mexicolife.com/guanajuato-real-estate.php,-13,0.16,0.00,0.05,1770000,"[12,54,67,54,36,44,44,29,23,36,23,23]",2026-04-19,Organic,,
nuevo vallarta nayarit mexico,1,0,390,19,1.30,informational,https://www.mexicolife.com/nuevo-vallarta-condos-for-sale.php,12,0.27,15.00,0.08,7600000,"[15,13,8,3,2,3,3,3,3,3,3,4]",2026-04-15,Things to know,,
nuevo vallarts,1,0,390,20,0.87,informational,https://www.mexicolife.com/nuevo-vallarta-condos-for-sale.php,12,0.27,10.00,0.09,46600000,"[0,0,0,0,100,0,0,0,0,0,0,0]",2026-04-14,Things to know,,
bucerias puerto vallarta,2,0,590,21,0.97,informational,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,12,0.27,11.00,0.11,105,"[24,13,18,13,13,16,13,2,3,3,7,5]",2026-04-14,People also ask,,
punta mita condos for sale,1,2,90,0,0.38,transactional,https://www.mexicolife.com/punta-de-mita-condos-for-sale.php,11,0.5,8.00,0.33,142,"[23,28,28,17,23,17,23,28,12,17,17,17]",2026-04-14,Organic,,
real estate pv,33,12,1300,43,0.20,commercial,https://www.mexicolife.com/puerto-vallarta-real-estate.php,-11,0,0.00,0.44,32100000,"[4,100,100,1,3,8,1,3,35,24,3,2]",2026-04-19,Organic,,
real estate in mexico,23,9,1300,34,0.31,"commercial, informational",https://www.mexicolife.com/,-10,0.02,0.00,0.31,1040000000,"[29,35,24,24,18,29,29,18,18,16,13,10]",2026-04-19,Organic,,People also ask
homes for sale puerto vallarta jalisco,22,9,1300,17,0.19,transactional,https://www.mexicolife.com/puerto-vallarta-real-estate.php,-10,0.02,0.00,0.36,887000,"[1,44,13,82,65,100,1,5,30,44,55,34]",2026-04-20,Organic,Image pack,People also ask
houses in puerto vallarta,0,6,480,16,0.36,commercial,https://www.mexicolife.com/pool/100000-200000/,-10,0,0.00,0.35,3490000,"[66,66,81,66,81,54,100,66,66,66,44,36]",2026-04-15,Organic,,
houses in puerto vallarta,0,2,480,16,0.36,commercial,https://www.mexicolife.com/puerto-vallarta-real-estate.php,-8,0,0.00,0.35,3490000,"[66,66,81,66,81,54,100,66,66,66,44,36]",2026-04-15,People also ask,,
icon vallarta,6,0,210,22,1.30,"informational, transactional",https://www.mexicolife.com/puerto-vallarta-hotel-zone-icon.php?p=2,7,0.16,9.00,0.32,13700000,"[43,54,54,29,43,35,35,35,29,35,43,43]",2026-04-17,Organic,,
puerto vallarta property prices surge,1,0,110,0,0.00,informational,https://www.mexicolife.com/blog/puerto-vallarta-condo-market-report-april-2025.html,6,0.13,0.00,0,100,"[0,0,0,54,100,0,0,0,0,0,0,0]",2026-04-19,AI overview,,
puerto vallarta property prices surge,2,2,110,0,0.00,informational,https://www.mexicolife.com/blog/puerto-vallarta-house-market-report-march-2025.html,6,0.2,0.00,0,100,"[0,0,0,54,100,0,0,0,0,0,0,0]",2026-04-19,Organic,AI overview,People also ask
hotels in bucerias mexico,2,0,170,28,1.34,commercial,https://www.mexicolife.com/puerto-vallarta-vs-bucerias.php,5,0.11,6.00,0.86,823000,"[5,32,17,21,21,26,17,14,11,11,3,14]",2026-04-14,People also ask,,
villa magna nuevo vallarta,2,0,40,9,2.15,informational,https://www.mexicolife.com/villa-magna-condos-for-sale.php,5,0.11,10.00,0.66,173000,"[28,7,12,5,5,5,12,17,5,10,10,5]",2026-04-15,Organic,,
puerto vallarta condo for sale,9,0,210,11,0.24,transactional,https://www.mexicolife.com/puerto-vallarta-condos-for-sale-zona-romantica.php,5,0.11,1.00,0.41,474000,"[10,16,55,36,1,1,10,3,36,24,5,6]",2026-04-19,Organic,,
fideicomiso,15,16,3600,19,2.15,informational,https://www.mexicolife.com/blog/buying-property-in-mexicos-restricted-zone-complete-faq-for-foreign-buyers.html,5,0.23,21.00,0.02,10200000,"[66,66,81,53,44,66,66,81,66,81,53,53]",2026-04-18,Organic,,
soho pv,8,6,390,24,1.43,informational,https://www.mexicolife.com/puerto-vallarta-centro-south-sohopv.php,-4,0.2,12.00,0.25,991000,"[39,48,59,39,39,39,39,39,21,39,48,48]",2026-04-19,Organic,,People also ask
house in puerto vallarta,0,3,50,9,0.36,commercial,https://www.mexicolife.com/idx/,-4,0,0.00,0.35,21500000,"[5,5,12,5,7,5,7,100,7,7,0,2]",2026-04-17,Organic,,
guanajuato city mexico real estate,9,6,320,8,0.02,commercial,https://www.mexicolife.com/guanajuato-real-estate.php,-4,0.16,0.00,0.05,134,"[1,66,19,66,44,54,66,44,44,44,36,36]",2026-04-15,Organic,,People also ask
venetian puerto vallarta,11,7,260,28,1.31,commercial,https://www.mexicolife.com/grand-venetian-condos.php,-4,0.04,2.00,0.67,241000,"[67,29,67,12,36,29,23,15,12,12,15,19]",2026-04-20,Organic,Local pack,"Knowledge panel, People also ask"
pent house in spanish,0,1,110,22,0.00,informational,https://www.mexicolife.com/puerto-vallarta-penthouse-condos-for-sale.php,-4,0,0.00,0,1500000,"[64,52,64,29,41,100,64,52,41,82,100,29]",2026-04-14,People also ask,,
condo pavilion,0,6,140,0,0.00,informational,https://www.mexicolife.com/puerto-vallarta-centro-south-pavilion.php,-4,0,0.00,0.05,4400000,"[43,23,53,0,17,0,100,35,35,35,28,23]",2026-04-16,Organic,,
puerto vallarta homes for sale,0,21,2900,20,0.19,transactional,https://www.mexicolife.com/puerto-vallarta-luxury-properties-for-sale.php,-4,0,0.00,0.36,1080000,"[100,81,66,53,53,44,44,53,53,24,44,24]",2026-04-15,Organic,,
arenka,3,5,70,22,0.00,informational,https://www.mexicolife.com/arenka-bucerias-condos-for-sale.php,4,0.09,0.00,0,59100,"[3,2,23,4,4,3,3,36,2,0,1,2]",2026-04-14,Organic,,Video Carousel
zenith condo,0,5,110,3,0.00,commercial,https://www.mexicolife.com/puerto-vallarta-centro-south-zenith.php,-4,0,0.00,0.06,723000,"[52,52,82,100,82,64,52,64,82,64,64,52]",2026-04-15,Organic,,
condominio villa magna,0,3,50,21,0.00,commercial,https://www.mexicolife.com/nuevo-vallarta-oceanside-villa-magna.php,-3,0,0.00,0.03,744000,"[52,42,33,33,23,19,19,14,23,14,23,9]",2026-04-16,Organic,,
condominio villa magna,3,0,50,18,0.39,commercial,https://www.mexicolife.com/villa-magna-condos-for-sale.php,3,0.06,1.00,0.1,106,"[42,33,33,23,19,19,14,23,14,23,9,66]",2026-04-17,Organic,,
property for sale in puerto vallarta mexico,0,6,110,20,0.13,transactional,https://www.mexicolife.com/idx/,-3,0,0.00,0.42,4240000,"[3,5,4,5,3,4,4,4,3,3,2,2]",2026-04-18,Organic,,
property for sale in puerto vallarta mexico,7,0,110,17,0.17,transactional,https://www.mexicolife.com/puerto-vallarta-real-estate.php,3,0.06,0.00,0.44,112,"[5,4,5,3,4,4,4,3,3,2,2,3]",2026-04-18,Organic,,
bucerias condos for sale,22,5,90,0,0.17,transactional,https://www.mexicolife.com/pacifica-bucerias-for-sale.php,-3,0,0.00,0.36,85000,"[100,64,82,41,64,41,41,41,29,29,41,41]",2026-04-14,Organic,,
chacala nayarit,0,11,1300,24,1.12,informational,https://www.mexicolife.com/nayarit/chacala.php,-3,0,0.00,0.06,322000,"[20,20,24,20,52,36,44,52,52,44,36,44]",2026-04-15,Organic,,
buy house puerto vallarta,17,4,50,16,0.19,transactional,https://www.mexicolife.com/puerto-vallarta-real-estate.php,-3,0,0.00,0.36,14600000,"[0,0,1,0,1,0,100,0,0,0,0,0]",2026-04-18,Organic,,People also ask
villa magna nuevo vallarta,0,4,50,5,1.45,"informational, transactional",https://www.mexicolife.com/nuevo-vallarta-oceanside-villa-magna.php,-3,0,0.00,0.56,212000,"[28,28,7,12,5,5,5,12,17,5,10,10]",2026-04-15,Organic,,
houses for sale in mexico puerto vallarta,33,4,50,15,0.21,transactional,https://www.mexicolife.com/puerto-vallarta-real-estate.php,-3,0,0.00,0.45,130,"[19,26,26,15,19,19,26,19,19,7,7,7]",2026-04-19,Organic,,
things to do in puerto vallerta,0,1,90,16,0.39,commercial,https://www.mexicolife.com/blog/top-10-things-to-do-in-puerto-vallarta.html,-3,0,0.00,0.78,13900000,"[3,0,0,2,2,0,1,0,0,0,0,67]",2026-04-14,AI overview,,
real estate in guanajuato,13,4,50,1,0.02,commercial,https://www.mexicolife.com/guanajuato-real-estate.php,-3,0,0.00,0.05,7790000,"[3,9,3,3,3,81,15,53,9,6,6,6]",2026-04-17,Organic,,People also ask
puerto vallarta property prices surge,1,0,110,0,0.00,informational,https://www.mexicolife.com/blog/puerto-vallarta-houses-market-report-june-2025.html,3,0.06,0.00,0,100,"[0,0,0,54,100,0,0,0,0,0,0,0]",2026-04-19,AI overview,,
puerto vallarta condo for sale,0,9,320,12,0.24,transactional,https://www.mexicolife.com/blog/puerto-vallarta-condo-market-report-april-2025.html,-3,0,0.00,0.42,661000,"[76,10,16,55,36,1,1,10,3,36,24,5]",2026-04-19,People also ask,,
puerto vallarta condo for sale,0,9,320,12,0.24,transactional,https://www.mexicolife.com/blog/puerto-vallarta-area-mls-condo-market-report-feb-2025.html,-3,0,0.00,0.42,661000,"[76,10,16,55,36,1,1,10,3,36,24,5]",2026-04-19,People also ask,,
sayulita condos for sale,5,0,70,0,0.09,transactional,https://www.mexicolife.com/sayulita-condos-for-sale.php,3,0.06,0.00,0.33,34100,"[21,15,21,21,21,21,15,21,21,15,28,28]",2026-04-17,Organic,,
